,tweet_id,sentiment,content,processed_corpus
200,1957011291,sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.,"['AlexanderGWhite', 'daaammmnnnnn', 'wish']"
202,1957012476,sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,"['yuki_hime', 'played', 'latter', 'part', 'voodoo', 'village', 'part', 'co-op', 'lost', 'usual', 'partner']"
204,1957012769,sadness,is a bad friend,"['bad', 'friend']"
211,1957013885,sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby","['moggy99', 'internet', 'last', 'night', 'ER', 'brill', 'massive', 'explosion', 'end', 'nearby', 'gas', 'work', 'ER', 'standby']"
213,1957013896,sadness,@lenje - Still a pity it comes with no lamb though,"['lenje', 'Still', 'pity', 'come', 'lamb', 'though']"
214,1957014267,sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,"['bloomsday16', ""'m"", 'sorry', 'hear', 'optimist', 'Things', 'get', 'better', 'u']"
226,1957016697,sadness,Had to cancel wow for now,"['cancel', 'wow']"
228,1957017164,sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,"['fairyfroggie', 'yeah', '...', ""'m"", 'sad', 'quot', 'Ravenclaw', 'quot', 'account', 'love', 'account', 'bit']"
236,1957018061,sadness,Up late with nothin 2 do.....,"['late', 'nothin', '.....']"
242,1957019556,sadness,sometimes i wish things could go back to the way they were the beginning of last summer,"['sometimes', 'wish', 'thing', 'could', 'go', 'back', 'way', 'beginning', 'last', 'summer']"
245,1957020180,sadness,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.","['kateisbored', 'feel', 'way', 'guess', 'matter', 'always', 'meme']"
254,1957021305,sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,"['Cute', 'Malay', 'girl', 'came', 'seemy', 'room', 'rent', 'sadly', 'think', 'guyfreind', 'bit', 'misleading', 'disappointing', 'LOL']"
267,1957025428,sadness,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol","['Everytime', 'send', 'email', 'coach', 'feel', 'need', 'practice', 'shitty', 'ball', 'Lol']"
268,1957026475,sadness,It's pissing me off and not letting me follow ericka,"[""'s"", 'pissing', 'letting', 'follow', 'ericka']"
269,1957027495,sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,"['going', 'sleep', 'peaceful', 'wanted', 'hear', 'say', 'Good', 'Night', ""n't"", 'happen', 'Good', 'Night', 'everyone', '....']"
270,1957027630,sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,"['mum', 'trying', 'make', 'feel', 'ebtter', 'stopping', 'voting', 'adn', 'winning', 'shortstack', 'almost', 'cried']"
275,1957028895,sadness,I haven't seen Muffin in two whole days!,"[""n't"", 'seen', 'Muffin', 'two', 'whole', 'day']"
276,1957029111,sadness,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,"['YumiFujii', ""'ll"", 'miss', ""y'all"", 'back', '...', 'give', 'LesleyBoudy', 'regard', '...']"
281,1957030545,sadness,Just found mj mouse flats at DJs. Of course there are none left in my size,"['found', 'mj', 'mouse', 'flat', 'DJs', 'course', 'none', 'left', 'size']"
291,1957032228,sadness,@xoshayzers i knoww  things won't be the samee &lt;/3,"['xoshayzers', 'knoww', 'thing', 'wo', ""n't"", 'samee', 'lt', '/3']"
297,1957033776,sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,"['Going', 'sleep', 'Gon', 'na', 'fall', 'asleep', 'playing', 'apps', 'Tmrw', 'going', 'suck']"
301,1957034202,sadness,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,"['ca', ""n't"", 'believe', 'Metal', 'Gear', 'Solid', 'song', 'stolen', ""'m"", 'disappointed', 'http', '//bit.ly/YKkSu']"
304,1957034566,sadness,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...,"['MacZombieRawr', 'wish', 'Left', 'Dead', 'first', ""'d"", 'need', 'something', 'play', '...']"
313,1957038324,sadness,my teeth and head hurts,"['teeth', 'head', 'hurt']"
314,1957038398,sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,"['HATE', 'rob', 'zombie', 'movie', 'amp', 'smell', 'weed', 'Vommmm']"
321,1957039456,sadness,no more arrested development. i am sad.,"['arrested', 'development', 'sad']"
323,1957039894,sadness,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,"['omg', 'keep', 'losing', 'follower', 'sad', 'want', '90', 'one', 'day', '....', 'thats', 'goal']"
324,1957039922,sadness,I feel so deflated. No more doggy.,"['feel', 'deflated', 'doggy']"
326,1957040172,sadness,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.","['empty', 'trash', 'mac', 'one', 'DIFFICULT', 'thing', 'ever', 'done', 'life', '8,000', 'picture', 'GONE']"
327,1957040395,sadness,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,"['im', 'contacting', 'PAWS', 'Philippines', 'find', 'quot', 'tiger', 'quot', 'new', 'owner', 'im', 'sad', 'love', 'dog', 'soo', 'much']"
328,1957040988,sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,"['got', 'home', 'wanting', 'read', 'last', 'chaper', 'breaking', 'dawn', 'cause', 'dont', 'want']"
331,1957041745,sadness,Fuuudge. Movie store is closed,"['Fuuudge', 'Movie', 'store', 'closed']"
332,1957041767,sadness,ALO is so sad and quiet and empty tonight,"['ALO', 'sad', 'quiet', 'empty', 'tonight']"
336,1957042316,sadness,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie,"['Mona26', 'Aw', 'headed', 'cancelled', 'trip', 'Aussie']"
343,1957043226,sadness,Sad that Christian Lacroix had to file bankruptcy,"['Sad', 'Christian', 'Lacroix', 'file', 'bankruptcy']"
344,1957043241,sadness,I dont feel good AT ALL. fuckkk,"['dont', 'feel', 'good', 'fuckkk']"
351,1957045395,sadness,Have to go to the dreaded DMV tomorrow,"['go', 'dreaded', 'DMV', 'tomorrow']"
361,1957047571,sadness,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,"['Taylor', 'Swift', 'Joe', 'Jonas', 'looked', 'really', 'good', 'together', ""'m"", 'kinda', 'sad', 'broke']"
364,1957048027,sadness,God I just want to sleep.,"['God', 'want', 'sleep']"
367,1957049167,sadness,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,"['Found', 'book', 'Starting', 'real', 'paper-bound', 'journal', 'tonight', 'annoying', 'zit', 'lip', 'Makes', 'look', 'like', 'herpes']"
370,1957050747,sadness,@RealBlackWidow But but I dun wanna,"['RealBlackWidow', 'dun', 'wan', 'na']"
371,1957050890,sadness,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,"['imjustlalayone', 'damn', 'girl', ""'m"", 'ya', 'got', 'ta', 'let', 'know', 'get', 'kit', 'together', 'amp', 'got', 'flyer', 'next', 'weekend', 'quot']"
372,1957051517,sadness,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha","['JustinOdom', 'dbl', 'booooooo', 'sick', 'flippin', 'blow', '...', 'bahaha', 'kno', 'dont', 'many', 'friend', 'either', 'feel', 'lame', 'haha']"
376,1957052932,sadness,feels sick to my stomach and idkk whyy,"['feel', 'sick', 'stomach', 'idkk', 'whyy']"
381,1957053566,sadness,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER","['hello_jodie', 'Um', 'thrown', 'JareWolf', ""'s"", 'van', 'yesterday', 'taken', 'ER']"
386,1957056027,sadness,@judyrey  The link doesn't work,"['judyrey', 'link', ""n't"", 'work']"
396,1957059348,sadness,my stupid tooooth hurts,"['stupid', 'tooooth', 'hurt']"
399,1957059917,sadness,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,"['turnitgrey', 'computer', 'broken', 'broke', 'laptop', 'use', 'phone', 'ahh', 'still', 'cause', 'fucked', 'order']"
410,1957062827,sadness,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,"[""'m"", 'awake', 'Anybody', 'else', 'awake', 'Wish', 'lived', 'US', 'since', 'fun', 'happens', ""'m"", 'asleep']"
412,1957063845,sadness,@Penguin_J heehee. i love you! i am tired.,"['Penguin_J', 'heehee', 'love', 'tired']"
416,1957064575,sadness,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day","['Morning', 'everyone', 'sorry', 'going', 'early', 'last', 'night', 'bad', 'news', 'felt', 'totally', 'crap', 'Today', 'new', 'day']"
418,1957064908,sadness,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...","['wish', 'parent', 'put', 'Chinese', 'school', 'younger', ""'ll"", 'much', 'easier', 'get', 'job', '...']"
425,1957067988,sadness,@joiskol  being in your room makes me sad.,"['joiskol', 'room', 'make', 'sad']"
428,1957068880,sadness,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,"['CocktailChic', 'oh', 'f', 'ck', 'completely', 'forgot', 'Thirsty', 'Thursday', 'oh', 'gaga', 'suck']"
429,1957069453,sadness,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!","['one', 'people', 'wrong', 'world', 'blame', 'people', 'great', 'world', 'living', 'Shit']"
432,1957070534,sadness,@meljachin: eww. dislike,"['meljachin', 'eww', 'dislike']"
435,1957071331,sadness,"@SuzyDunkley sorry bout the cat,","['SuzyDunkley', 'sorry', 'bout', 'cat']"
441,1957072896,sadness,missed iron chef,"['missed', 'iron', 'chef']"
442,1957073073,sadness,@thevowel the DS version sucks,"['thevowel', 'DS', 'version', 'suck']"
443,1957073201,sadness,what a bad day,"['bad', 'day']"
459,1957076048,sadness,went to the cd store to search for the cd. But,"['went', 'cd', 'store', 'search', 'cd']"
461,1957076433,sadness,I miss my mom..  &quot;May angels lead you in&quot;,"['miss', 'mom', '..', 'quot', 'May', 'angel', 'lead', 'quot']"
465,1957077552,sadness,@chocolovere i feel the same way every day,"['chocolovere', 'feel', 'way', 'every', 'day']"
466,1957077564,sadness,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,"['Ca', ""n't"", 'sleep', 'Sucks', 'one', 'day', 'sleep', 'get', 'go', 'shopping', 'mom', 'Ugh']"
468,1957078157,sadness,Sleppytime. Really missing my godfather right now. Love you Wayne,"['Sleppytime', 'Really', 'missing', 'godfather', 'right', 'Love', 'Wayne']"
469,1957078740,sadness,So have a headache right now and it sucks,"['headache', 'right', 'suck']"
472,1957079403,sadness,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please","['jwray12', 'Lakers', 'baby', 'Lakers', ""'ll"", 'miss', 'game', 'tmwr', 'work', ""'ll"", 'keep', 'posted', 'please']"
473,1957079496,sadness,"comfort food of the day: pan mee. though, it didnt taste any good..","['comfort', 'food', 'day', 'pan', 'mee', 'though', 'didnt', 'taste', 'good', '..']"
475,1957079568,sadness,misses my baby.,"['miss', 'baby']"
480,1957080579,sadness,I'm poorly and can't sleep,"[""'m"", 'poorly', 'ca', ""n't"", 'sleep']"
488,1957082926,sadness,has work tom.,"['work', 'tom']"
493,1957083616,sadness,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm,"['today', 'say', 'goodbye', 'second', 'good', 'friend', 'week', 'dmp', 'least', 'sun', 'shinning', ""'m"", 'definately', 'working', 'pm']"
498,1957084166,sadness,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.,"['Sometimes', 'thing', 'say', 'hurt', 'one', 'love', 'unintentionally', 'never', 'ever', 'take', 'back', 'fix']"
499,1957084446,sadness,@nickkk_ that sucks!,"['nickkk_', 'suck']"
501,1957084638,sadness,Having Fever  dont feel to work,"['Fever', 'dont', 'feel', 'work']"
504,1957084945,sadness,missing @MeLDiBiAsE...6 days can't pass quick enough,"['missing', 'MeLDiBiAsE', '...', 'day', 'ca', ""n't"", 'pas', 'quick', 'enough']"
506,1957085211,sadness,"Working from home today, my back is killing me  Doctor and then physio after later today.","['Working', 'home', 'today', 'back', 'killing', 'Doctor', 'physio', 'later', 'today']"
516,1957087793,sadness,Missing you all deeply,"['Missing', 'deeply']"
519,1957088224,sadness,"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you.","['Ravels', 'sniff', 'sniff', 'take', 'care', 'ravel', 'Hopefully', ""'ll"", 'chatting', 'soon', 'mean', 'time', ""'ll"", 'HELLA', 'miss']"
523,1957089208,sadness,I don't want her to leave..,"[""n't"", 'want', 'leave', '..']"
530,1957090408,sadness,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack","['KaliyahPjones', 'lmao', '...', 'thats', 'sad', 'kinda', 'discourages', '4rom', 'goin', 'shit', ""'s"", 'wack']"
532,1957090496,sadness,@WillyNorthpole I wish I was there,"['WillyNorthpole', 'wish']"
533,1957090643,sadness,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end...","['miss', 'little', 'Batty', 'month', 'old', 'got', 'sick', 'always', 'fun', 'full', 'life', 'lt', 'Even', 'end', '...']"
536,1957091327,sadness,morning again! I hate mornings. So offensive!,"['morning', 'hate', 'morning', 'offensive']"
538,1957091372,sadness,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day,"['bed', 'bed', 'bed', 'samuelasanders', 'never', 'answer', 'text', 'anymore', 'thought', 'day', 'sent', 'one', 'never', 'heard', 'back', 'Sad', 'day']"
540,1957092017,sadness,@brianshead waah. We're no longer your peeps.,"['brianshead', 'waah', ""'re"", 'longer', 'peep']"
541,1957092623,sadness,@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha,"['angelica_yo', 'LOL', 'wow', 'dawg', ""n't"", 'sound', 'like', ""'re"", 'playing', 'feel', 'bad', 'haha']"
549,1957093920,sadness,@MariusLT I'm sorry about your bad driving experiences.,"['MariusLT', ""'m"", 'sorry', 'bad', 'driving', 'experience']"
551,1957094323,sadness,Already misses @CMontecillo,"['Already', 'miss', 'CMontecillo']"
557,1957096324,sadness,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!,"['Gutted', 'bathroom', 'still', ""n't"", 'free-', 'early', 'work', ""n't"", 'going', 'happen', 'need', 'loo']"
564,1957098844,sadness,thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick,"['thank', 'ddlovato', 'cant', 'wait', 'ummm', 'btw', 'ima', 'crash', 'still', 'sick']"
565,1957098983,sadness,"First my work computer, now my home laptop is fucked.","['First', 'work', 'computer', 'home', 'laptop', 'fucked']"
574,1957100428,sadness,@joek949 It's depressing I'm stuck inside all day,"['joek949', ""'s"", 'depressing', ""'m"", 'stuck', 'inside', 'day']"
576,1957100791,sadness,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync,"['hate', 'sick', 'miss', 'cynthiasheree', 'lucyowns', 'larilync']"
579,1957102054,sadness,"Woke Up,I Wanna Stay In My bed","['Woke', 'Wan', 'na', 'Stay', 'bed']"
582,1957102464,sadness,Upsidedown tomato plants died!,"['Upsidedown', 'tomato', 'plant', 'died']"
587,1957103831,sadness,@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:,"['ddlovato', 'Caa', ""n't"", 'Iht', 'Earlier', 'ICant', 'Wait', 'Long', 'Ahar']"
595,1957104948,sadness,@prncsztalia why do you hate me!?,"['prncsztalia', 'hate']"
598,1957105755,sadness,http://twitpic.com/663vr - Wanted to visit the animals but we were too late,"['http', '//twitpic.com/663vr', 'Wanted', 'visit', 'animal', 'late']"
600,1957106328,sadness,#jonaswebcast i just missed it!!!!,"['jonaswebcast', 'missed']"
603,1957106916,sadness,So exhausted..can't sleep. I don't like these nights,"['exhausted', '..', 'ca', ""n't"", 'sleep', ""n't"", 'like', 'night']"
604,1957107095,sadness,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz,"[""'m"", 'gon', 'na', 'miss', 'live', 'Comet', 'action', 'tomorrow', 'go', 'take', 'care', 'cousin', ""n't"", 'access', 'interwebz']"
607,1957108151,sadness,@NothinButSin sorry to hear that.,"['NothinButSin', 'sorry', 'hear']"
609,1957109281,sadness,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face,"['found', 'ca', ""n't"", 'drink', 'bar', 'Booo', 'missing', 'e1', 'palomino', ""'s"", 'cheer', 'sad', 'face']"
615,1957111072,sadness,finished a whole box of ice cream,"['finished', 'whole', 'box', 'ice', 'cream']"
630,1957113650,sadness,@chrisontv88 btw I am not a wimp,"['chrisontv88', 'btw', 'wimp']"
634,1957114575,sadness,@queenbmakeup i can't add you on myspace girly  it asks for a last name and email,"['queenbmakeup', 'ca', ""n't"", 'add', 'myspace', 'girly', 'asks', 'last', 'name', 'email']"
637,1957114960,sadness,I don't wanna go back to work   sleepy time.,"[""n't"", 'wan', 'na', 'go', 'back', 'work', 'sleepy', 'time']"
645,1957116289,sadness,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!,"['http', '//bit.ly/3W9w1', 'NOOOO', 'go', 'Orlando', 'OMG', ""'m"", 'gon', 'na', 'CRY']"
653,1957117968,sadness,"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!","['johnpopham', 'Morning', 'John', 'yes', 'however', 'diary', 'clash', 'sadly', 'ca', ""n't"", 'attend']"
654,1957118155,sadness,I miss my friend,"['miss', 'friend']"
656,1957118513,sadness,Yea i just saw this really sad commercial,"['Yea', 'saw', 'really', 'sad', 'commercial']"
657,1957118612,sadness,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun,"['Hmmm', 'Using', 'TinyTwitter', 'small', 'non-touch', 'screen', 'really', 'much', 'fun']"
663,1957120549,sadness,Hates having to sleep alone,"['Hates', 'sleep', 'alone']"
667,1957120981,sadness,I loved johnny carson now I'm going to hate seeing jay leno go,"['loved', 'johnny', 'carson', ""'m"", 'going', 'hate', 'seeing', 'jay', 'leno', 'go']"
668,1957121259,sadness,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha,"['even', 'though', 'everyone', 'wanted', 'newish', 'song', 'teacher', 'agreed', 'old', 'grumpy', ""n't"", 'like', 'u', 'happy', 'haha']"
671,1957121970,sadness,@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though,"['razitul', 'ya', 'suffering', 'whole', 'day', 'yesterday', 'met', 'dentist', 'feel', 'bit', 'better', 'still', 'look', 'like', 'rocky', 'balboa', 'though']"
676,1957122923,sadness,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..,"[""n't"", 'get', 'callback', 'play', 'cried', '...', 'oh', 'well', 'guess', ""'s"", 'back', 'techie', '..']"
678,1957123281,sadness,@lunafactor I kinda wish I went with you now!.. I can't fall asleep,"['lunafactor', 'kinda', 'wish', 'went', '..', 'ca', ""n't"", 'fall', 'asleep']"
688,1957125620,sadness,@Dakshinamurti Not yet... sorry,"['Dakshinamurti', 'yet', '...', 'sorry']"
692,1957126750,sadness,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited,"['FALL', 'ASLEEP', 'know', 'feel', 'LOL', 'Drag', 'Hell', 'tonight', 'Quite', 'excited']"
699,1957128473,sadness,um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail,"['um', '...', ""n't"", 'think', 'text', 'msg', 'quot', 'subject', 'line', 'quot', '...', 'fail']"
700,1957128727,sadness,tummy ache.,"['tummy', 'ache']"
708,1957130797,sadness,"@askegg I'm sorry, Andrew. I wish there was something I could do...","['askegg', ""'m"", 'sorry', 'Andrew', 'wish', 'something', 'could', '...']"
709,1957131196,sadness,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol,"['finsh', 'work', 'eleven', '..', 'EVEN', 'ALLOWD', 'cauz', 'really', 'dont', 'want', '..', 'lol']"
711,1957131626,sadness,"@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad","['AmandaMallard', ""'m"", 'chaseton', ""'s"", 'either', 'please', ""n't"", 'die', 'heart', 'really', 'sad']"
725,1957133923,sadness,"I can't sleep, this is so darn frustrating.","['ca', ""n't"", 'sleep', 'darn', 'frustrating']"
728,1957134402,sadness,@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.,"['stormyamorette', 'one', 'day', 'loneliness', 'creep', 'slap', 'face']"
729,1957134460,sadness,RIP kelly  fucccccck,"['RIP', 'kelly', 'fucccccck']"
734,1957135976,sadness,Not feeling too good,"['feeling', 'good']"
735,1957136360,sadness,Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good,"['Ok.', 'Time', 'nodd', 'gon', 'na', 'long', 'day', 'tomorrow', 'Saying', 'goodbye', 'car', 'good']"
740,1957137074,sadness,i miss oklahomaaaaa  listening to citizen cope til i pass out.,"['miss', 'oklahomaaaaa', 'listening', 'citizen', 'cope', 'til', 'pas']"
747,1957139587,sadness,its funny. i'm kinda sad on my last day,"['funny', ""'m"", 'kinda', 'sad', 'last', 'day']"
750,1957139854,sadness,Jenny fell asleep and didn't come over,"['Jenny', 'fell', 'asleep', ""n't"", 'come']"
752,1957140211,sadness,Wishes you had teased me with movie night,"['Wishes', 'teased', 'movie', 'night']"
754,1957140443,sadness,@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.,"['johneast', ""'ve"", 'missed', 'one', 'year', ""'s"", 'forbidden', 'fruit', 'tree', 'garden', 'munch', 'disappointment', 'one']"
758,1957141622,sadness,@IvanaE i love it to.. but i knw there gna cut stuff out on tv,"['IvanaE', 'love', '..', 'knw', 'gna', 'cut', 'stuff', 'tv']"
760,1957142001,sadness,@JoannaAngel I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.,"['JoannaAngel', 'Im', 'strict', 'diet', 'ugh', 'feel', 'like', 'cheat', 'one', 'day', 'Ill', 'throw', 'everything']"
766,1957143236,sadness,"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave","['Cal', 'Dachshund', 'Rescue', 'found', 'home', 'foster', 'pup', 'Max', ""'m"", 'soooooo', 'sad', 'see', 'leave']"
767,1957143446,sadness,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8,"['wow', 'feel', 'like', 'ish', 'really', 'feel', 'bad', 'ignorent', 'aholes', 'wont', 'overturn', 'prop']"
768,1957143564,sadness,"off to work now, finish about 9pm  booooo.","['work', 'finish', '9pm', 'booooo']"
769,1957143679,sadness,Wishes you hadn't teased me with movie night,"['Wishes', ""n't"", 'teased', 'movie', 'night']"
773,1957145383,sadness,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today","['maybe', 'take', 'drinking', 'feel', 'massive', 'hangover', 'still', 'yself', 'today']"
781,1957145956,sadness,should be sleeping.  lost my voice a couple day ago.,"['sleeping', 'lost', 'voice', 'couple', 'day', 'ago']"
783,1957146363,sadness,I was too sleepy earlier and i didnt get to see matt,"['sleepy', 'earlier', 'didnt', 'get', 'see', 'matt']"
786,1957146963,sadness,I just realized I spelled &quot;adorable&quot; wrong when I tweeted @mindykaling she must hate me now,"['realized', 'spelled', 'quot', 'adorable', 'quot', 'wrong', 'tweeted', 'mindykaling', 'must', 'hate']"
790,1957147399,sadness,how to have a glowing face? my complexion is always so pale,"['glowing', 'face', 'complexion', 'always', 'pale']"
791,1957147422,sadness,"Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL","['Downloadfestival', ""'s"", 'lineup', ""n't"", 'good', 'thought', 'awesome', 'band', 'festival', 'missing', 'DL']"
811,1957150462,sadness,oh no my tweetdeck is malfunctioning :O il have web will its fixd,"['oh', 'tweetdeck', 'malfunctioning', 'il', 'web', 'fixd']"
812,1957150576,sadness,"@ElectraX ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)","['ElectraX', '...', ""'m"", 'sorry', 'still', 'sick', 'u', 'know', 'know', 'u', 'guess', 'quot', 'pelzer', 'present', 'quot']"
813,1957151064,sadness,@maliciousmandy1 Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday,"['maliciousmandy1', 'Adam', 'Samberg', 'new', 'moon', 'trailor', 'good', 'evening', 'bad', 'cable', 'friday']"
818,1957151748,sadness,Just got my ass kicked in Tripoly lol  I got such bad cards... i suck,"['got', 'as', 'kicked', 'Tripoly', 'lol', 'got', 'bad', 'card', '...', 'suck']"
822,1957152662,sadness,Annnnnnddd another one bites the dust,"['Annnnnnddd', 'another', 'one', 'bite', 'dust']"
828,1957153926,sadness,"on my 42nd written fuck.. i get less ideas every day, and every day","['42nd', 'written', 'fuck', '..', 'get', 'less', 'idea', 'every', 'day', 'every', 'day']"
838,1957155610,sadness,@hammett I wish I could have time for my xbox  project all tied,"['hammett', 'wish', 'could', 'time', 'xbox', 'project', 'tied']"
849,1957158904,sadness,And trash repops.  Getting it tomorrow night I suppose.,"['trash', 'repops', 'Getting', 'tomorrow', 'night', 'suppose']"
853,1957160024,sadness,feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!,"['feel', 'like', 'crap', 'whenever', 'lay', '1+-', 'hate', 'heartburn', 'amp', 'backache']"
854,1957160410,sadness,@katiefreeze I miss you!!!! It's lonely and empty without you!  http://yfrog.com/3o3zxoj,"['katiefreeze', 'miss', ""'s"", 'lonely', 'empty', 'without', 'http', '//yfrog.com/3o3zxoj']"
855,1957160428,sadness,@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/,"['lozzyx', 'NOICE', 'realised', 'exam', 'week', 'Forgot', 'whole', 'week', 'Unit', 'term', 'thing']"
857,1957160631,sadness,Missing Everyone,"['Missing', 'Everyone']"
864,1957161860,sadness,My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.,"['sisser', 'moving', 'tomorrow', 'make', 'sad', 'actually', 'guess', 'technically', 'couple', 'hour', 'since', ""'s"", 'already', 'Friday']"
874,1957163968,sadness,@wired that is so sad,"['wired', 'sad']"
881,1957165933,sadness,is still sick  sigh,"['still', 'sick', 'sigh']"
884,1957166877,sadness,i feel really weird,"['feel', 'really', 'weird']"
889,1957167519,sadness,my throat hurts  gonna go read and go to bed. text mee!,"['throat', 'hurt', 'gon', 'na', 'go', 'read', 'go', 'bed', 'text', 'mee']"
893,1957168762,sadness,fjdskal im really frustrated.,"['fjdskal', 'im', 'really', 'frustrated']"
895,1957168966,sadness,Wondering how come mcdonalds take so long to deliver my food.,"['Wondering', 'come', 'mcdonalds', 'take', 'long', 'deliver', 'food']"
897,1957169132,sadness,"@kenyaimagine ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry","['kenyaimagine', '...', 'much', 'injustice', 'imagine', 'get', 'worse', 'get', 'better', 'afraid', 'doubt', 'Sorry']"
899,1957169213,sadness,Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!,"['Sooo', '.....', ""'m"", 'kind', 'sick', 'n', 'tired', 'b', 'guy', 'dish']"
